Classe;FormaCappello;ColoreCappello;Lividi;Odore;Dim_Lamelle;RadiceGambo;ColoreGambo_sotto_anello;Habitat
Velenoso;Convessa;Marrone;Si;Pungente;Strette;Regolare;Bianco;In città
Commestibile;Convessa;Giallo;Si;Mandorla;Larghe;Gonfia;Bianco;Tra l'erba
Commestibile;A campana;Bianco;Si;Anice;Larghe;Gonfia;Bianco;Nei prati
Velenoso;Convessa;Bianco;Si;Pungente;Strette;Regolare;Bianco;In città
Commestibile;Convessa;Grigio;No;Nessuno;Larghe;Regolare;Bianco;Tra l'erba
Commestibile;Convessa;Giallo;Si;Mandorla;Larghe;Gonfia;Bianco;Tra l'erba
Commestibile;A campana;Bianco;Si;Mandorla;Larghe;Gonfia;Bianco;Nei prati
Commestibile;A campana;Bianco;Si;Anice;Larghe;Gonfia;Bianco;Nei prati
Velenoso;Convessa;Bianco;Si;Pungente;Strette;Regolare;Bianco;Tra l'erba
Commestibile;A campana;Giallo;Si;Mandorla;Larghe;Gonfia;Bianco;Nei prati
Commestibile;Convessa;Giallo;Si;Anice;Larghe;Gonfia;Bianco;Tra l'erba
Commestibile;Convessa;Giallo;Si;Mandorla;Larghe;Gonfia;Bianco;Nei prati
Commestibile;A campana;Giallo;Si;Mandorla;Larghe;Gonfia;Bianco;Tra l'erba
Velenoso;Convessa;Bianco;Si;Pungente;Strette;Regolare;Bianco;In città
Commestibile;Convessa;Marrone;No;Nessuno;Larghe;Regolare;Bianco;Tra l'erba
Commestibile;Concavo;Grigio;No;Nessuno;Strette;Regolare;Bianco;In città
Commestibile;Piatta;Bianco;No;Nessuno;Larghe;Regolare;Bianco;Tra l'erba
Velenoso;Convessa;Marrone;Si;Pungente;Strette;Regolare;Bianco;Tra l'erba
Velenoso;Convessa;Bianco;Si;Pungente;Strette;Regolare;Bianco;In città
Velenoso;Convessa;Marrone;Si;Pungente;Strette;Regolare;Bianco;In città
Commestibile;A campana;Giallo;Si;Mandorla;Larghe;Gonfia;Bianco;Nei prati
Velenoso;Convessa;Marrone;Si;Pungente;Strette;Regolare;Bianco;Tra l'erba
Commestibile;A campana;Giallo;Si;Anice;Larghe;Gonfia;Bianco;Nei prati
Commestibile;A campana;Bianco;Si;Mandorla;Larghe;Gonfia;Bianco;Nei prati
Commestibile;A campana;Bianco;Si;Anice;Larghe;Gonfia;Bianco;Nei prati
Velenoso;Piatta;Bianco;Si;Pungente;Strette;Regolare;Bianco;Tra l'erba
Commestibile;Convessa;Giallo;Si;Mandorla;Larghe;Gonfia;Bianco;Nei prati
Commestibile;Convessa;Bianco;Si;Anice;Larghe;Gonfia;Bianco;Nei prati
Commestibile;Piatta;Marrone;No;Nessuno;Strette;Regolare;Bianco;In città
Commestibile;Convessa;Giallo;Si;Mandorla;Strette;Bulbo;Bianco;Bosco
Commestibile;A campana;Giallo;Si;Anice;Larghe;Gonfia;Bianco;Nei prati
Velenoso;Convessa;Bianco;Si;Pungente;Strette;Regolare;Bianco;In città
Commestibile;Convessa;Giallo;Si;Anice;Larghe;Gonfia;Bianco;Nei prati
Commestibile;Convessa;Marrone;Si;Anice;Larghe;Con radici;Bianco;Nei sentieri
Commestibile;A campana;Giallo;Si;Anice;Larghe;Gonfia;Bianco;Nei prati
